,Date,Adj Close,Close,High,Low,Open,Volume,DateOrdinal
1420,2000-01-01,47.14160156,47.1629982,50.26599884,47.1590004,50.2159996,1156044000,730120
1421,2000-01-01,45.9971199,46.01800156,47.80500031,45.02399826,47.01200104,925341000,730120
1422,2000-01-01,46.81375122,46.83499908,46.97999954,44.88800049,46.48199844,685192000,730120
1423,2000-01-01,48.76186752,48.7840004,49.08100128,46.39099884,46.66600037,701397000,730120
1424,2000-01-01,49.24164963,49.26399994,49.92699814,48.42499924,49.04399872,735206000,730120
1425,2000-01-01,49.33261108,49.35499954,49.74399948,48.95800018,49.38000107,528570000,730120
1426,2023-01-09,48.4869957,48.50899887,49.79999924,48.14199829,49.76200104,463830000,738529
1427,2023-05-09,48.52597427,48.54800034,48.85100174,47.86000061,48.22299957,382653000,738649
1428,2023-06-09,47.04352188,47.06100082,48.54899979,46.58000183,48.44100189,468670000,738680
1429,2023-07-09,46.22382736,46.24100113,46.34400177,45.15200043,45.52500153,433330000,738710
1430,2023-08-09,45.5550766,45.5719986,46.60599899,45.27099991,45.94200134,473069000,738741
1431,2023-11-09,45.16122437,45.1780014,46.1629982,44.31200027,46.14799881,473966000,738833
1432,2023-12-09,44.85333633,44.86999893,45.67300034,44.53099823,44.73799896,349256000,738863
1433,2000-01-01,45.46811295,45.48500061,45.93000031,44.50299835,44.59999847,398355000,730120
1434,2000-01-01,45.56407928,45.58100128,45.98699951,45.13100052,45.95000076,370097000,730120
1435,2000-01-01,43.88369751,43.90000153,45.59899902,43.80799866,45.3409996,506831000,730120
1436,2000-01-01,43.94966888,43.9659996,44.24200058,42.0,42.7480011,500271000,730120
1437,2000-01-01,43.50383759,43.52000046,43.9659996,43.0019989,43.83300018,373064000,730120
1438,2000-01-01,42.22331619,42.23899841,43.90299988,42.22299957,43.59999847,367108000,730120
1439,2000-01-01,41.0017662,41.01699829,42.09999847,40.97999954,41.58300018,450736000,730120
1440,2000-01-01,41.59454727,41.61000061,42.11500168,41.23099899,41.5719986,479236000,730120
1441,2000-01-01,42.20632172,42.22200012,42.5359993,41.17699814,41.5909996,419091000,730120
1442,2000-01-01,41.89543533,41.9109993,42.81999969,41.65499878,42.00099945,402282000,730120
1443,2000-01-01,42.45222855,42.4679985,42.87200165,41.62900162,42.33000183,444935000,730120
1444,2000-01-01,43.07299805,43.0890007,43.44599915,42.11500168,42.45999908,424663000,730120
1445,2000-01-01,43.48284531,43.49900055,44.14400101,43.30699921,43.82699966,397830000,730120
1446,2023-02-10,44.76536942,44.7820015,45.17499924,43.86100006,44.02999878,433298000,738561
1447,2023-03-10,43.50083542,43.51699829,45.13000107,43.24599838,44.80799866,470850000,738589
1448,2023-04-10,44.02465057,44.04100037,44.14300156,43.29199982,43.74200058,361821000,738620
1449,2023-05-10,44.67140579,44.68799973,44.90000153,43.88800049,44.04999924,393483000,738650
1450,2023-06-10,45.74500656,45.76200104,45.78900146,44.02600098,44.19300079,434436000,738681
1451,2023-09-10,45.25618744,45.27299881,45.60499954,44.36800003,44.84199905,409675000,738773
1452,2023-10-10,45.7809906,45.79800034,46.25899887,45.08800125,45.31000137,368582000,738803
1453,2023-11-10,46.78862,46.80599976,46.85900116,46.04999924,46.19599915,378137000,738834
1454,2023-12-10,46.92756653,46.94499969,47.60900116,46.33000183,46.77700043,481325000,738864
1455,2000-01-01,45.44411469,45.46099854,47.11600113,45.27999878,46.95999908,474115000,730120
1456,2000-01-01,46.07788849,46.09500122,46.22499847,44.91199875,45.06299973,375099000,730120
1457,2000-01-01,43.92168427,43.93799973,44.75400162,42.47999954,44.0,812333000,730120
1458,2000-01-01,42.18033218,42.19599915,43.21900177,41.82500076,42.5909996,627294000,730120
1459,2000-01-01,42.08536911,42.10100174,43.29700089,41.88199997,42.81100082,501233000,730120
1460,2000-01-01,41.37163162,41.38700104,42.47000122,41.07799911,41.88999939,477266000,730120
1461,2000-01-01,42.95904541,42.97499847,43.2480011,40.94499969,41.22900009,478530000,730120
1462,2000-01-01,43.64678574,43.6629982,43.6969986,42.69100189,43.07699966,401463000,730120
1463,2000-01-01,41.76348495,41.77899933,43.65000153,41.55500031,43.39799881,398379000,730120
1464,2000-01-01,40.31102753,40.32600021,42.25600052,39.88000107,41.85300064,541001000,730120
1465,2000-01-01,40.48496246,40.5,41.20600128,40.01499939,41.13000107,416784000,730120
1466,2000-01-01,41.14571381,41.1609993,41.76599884,40.48099899,41.0870018,388028000,730120
1467,2000-01-01,40.76485825,40.77999878,40.87900162,39.22999954,40.45000076,517969000,730120
1468,2023-01-11,42.30928802,42.32500076,42.38100052,40.86899948,40.88399887,437593000,738531
1469,2023-02-11,43.48984146,43.50600052,43.88399887,42.89400101,43.32799911,409172000,738562
1470,2023-03-11,44.98828888,45.00500107,45.30899811,43.72299957,44.02000046,424610000,738590
1471,2023-06-11,45.7340126,45.75099945,45.93500137,44.89899826,45.28499985,400733000,738682
1472,2023-07-11,45.93793869,45.95500183,46.2179985,45.15800095,45.71900177,343165000,738712
1473,2023-08-11,46.55670547,46.57400131,46.86700058,45.9679985,46.09999847,346719000,738743
1474,2023-09-11,46.93256378,46.95000076,48.22999954,46.75,47.46699905,540496000,738774
1475,2023-10-11,48.31704712,48.33499908,48.47200012,47.28300095,47.5,421245000,738804
1476,2000-01-01,48.60194016,48.61999893,49.11600113,48.09899902,48.31999969,384136000,730120
1477,2000-01-01,49.6375618,49.65599823,49.83399963,49.04000092,49.68000031,416954000,730120
1478,2000-01-01,48.86984253,48.88800049,49.95999908,48.20000076,49.93500137,475497000,730120
1479,2000-01-01,49.46163177,49.47999954,49.52500153,48.33000183,48.67900085,339756000,730120
1480,2000-01-01,49.27969742,49.29800034,49.71699905,49.00699997,49.52399826,325205000,730120
1481,2000-01-01,50.39028168,50.4090004,50.54800034,49.18099976,49.31200027,414120000,730120
1482,2000-01-01,49.92545319,49.94400024,50.51699829,49.22200012,50.12599945,565747000,730120
1483,2000-01-01,48.69790649,48.7159996,50.33499908,47.68999863,49.85200119,899420000,730120
1484,2000-01-01,47.75825882,47.77600098,48.92100143,47.74499893,48.47000122,294645000,730120
1485,2000-01-01,48.22408676,48.24200058,48.52999878,47.65200043,47.79999924,395662000,730120
1486,2000-01-01,47.80323792,47.82099915,48.32300186,47.47299957,48.23600006,401491000,730120
1487,2000-01-01,48.12212753,48.13999939,48.76200104,47.86000061,48.37900162,382005000,730120
1488,2000-01-01,46.75263214,46.77000046,48.11000061,46.42200089,48.02399826,526247000,730120
1489,2023-01-12,46.74763489,46.76499939,47.20000076,46.18700027,46.52500153,369317000,738532
1490,2023-04-12,45.49309921,45.50999832,46.07699966,45.00999832,46.07699966,437543000,738622
1491,2023-05-12,46.55279922,46.56600189,46.59999847,45.27099991,45.4659996,371718000,738652
1492,2023-06-12,45.49010086,45.50299835,47.38700104,45.41199875,47.21500015,380590000,738683
1493,2023-07-12,46.58279419,46.59600067,46.62900162,45.60400009,45.70000076,350823000,738713
1494,2023-08-12,47.49253464,47.50600052,47.74100113,46.54999924,46.59500122,359224000,738744
1495,2023-11-12,46.61378479,46.6269989,47.53099823,45.83000183,47.49100113,509728000,738836
1496,2023-12-12,47.64349365,47.6570015,47.66600037,46.04600143,46.04600143,372387000,738866
1497,2000-01-01,48.07437515,48.08800125,48.59400177,47.60800171,47.62900162,447792000,730120
1498,2000-01-01,48.33629608,48.34999847,48.66999817,47.42200089,48.38999939,391232000,730120
1499,2000-01-01,48.87614059,48.88999939,49.40399933,48.11999893,48.19400024,479948000,730120
1500,2000-01-01,50.06280518,50.07699966,50.43299866,49.15000153,49.40000153,412587000,730120
1501,2000-01-01,49.58993912,49.60400009,49.70000076,48.89500046,49.42399979,464444000,730120
1502,2000-01-01,48.0973587,48.11100006,49.99900055,48.09799957,49.65499878,397894000,730120
1503,2000-01-01,48.97611618,48.99000168,49.09500122,48.41899872,48.81100082,300425000,730120
1504,2000-01-01,48.81616211,48.83000183,49.38299942,48.46699905,49.19499969,252507000,730120
1505,2000-01-01,49.26502991,49.27899933,49.59999847,48.95999908,48.9679985,244200000,730120
1506,2000-01-01,49.40299225,49.41699982,49.68000031,49.08499908,49.51100159,233648000,730120
1507,2000-01-01,49.50796509,49.52199936,49.88399887,49.41199875,49.64300156,246587000,730120
1508,2000-01-01,49.50796509,49.52199936,49.99700165,48.75099945,49.81299973,389293000,730120
1509,2024-02-01,48.15434647,48.16799927,49.29499817,47.59500122,49.24399948,411254000,738917
1510,2024-03-01,47.5555191,47.56900024,48.18399811,47.31999969,47.48500061,320896000,738946
1511,2024-04-01,47.98439789,47.9980011,48.5,47.50799942,47.76699829,306535000,738977
1512,2024-05-01,49.08308029,49.09700012,49.54700089,48.30599976,48.4620018,415039000,739007
1513,2024-08-01,52.23818588,52.25299835,52.27500153,49.47900009,49.51200104,642510000,739099
1514,2024-09-01,53.12493896,53.13999939,54.32500076,51.68999863,52.40100098,773100000,739130
1515,2024-10-01,54.33459473,54.34999847,54.59999847,53.48899841,53.61600113,533796000,739160
1516,2024-11-01,54.80646133,54.8219986,55.34600067,53.56000137,54.99900055,596759000,739191
1517,2024-12-01,54.69448853,54.70999908,54.97000122,54.33000183,54.61999893,352994000,739221
1518,2000-01-01,56.3660202,56.38199997,56.83499908,54.90000153,55.01800156,449580000,730120
1519,2000-01-01,56.03711319,56.0530014,56.47100067,54.74000168,56.34700012,474394000,730120
